testcase,result,"(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'OX'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O0'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O1'))",comment
MultiSource/Benchmarks/TSVC/Symbolics-flt/Symbolics-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Trimaran/enc-3des/enc-3des,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Trimaran/enc-md5/enc-md5,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Trimaran/enc-pc1/enc-pc1,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Trimaran/enc-rc4/enc-rc4,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Trimaran/netbench-crc/netbench-crc,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/Trimaran/netbench-url/netbench-url,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/VersaBench/8b10b/8b10b,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/VersaBench/beamformer/beamformer,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/VersaBench/bmm/bmm,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/VersaBench/dbms/dbms,--,C_FAIL,C_FAIL,C_FAIL,--
MultiSource/Benchmarks/VersaBench/ecbdes/ecbdes,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/llubenchmark/llu,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/mafft/pairlocalalign,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/mediabench/adpcm/rawcaudio/rawcaudio,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/mediabench/adpcm/rawdaudio/rawdaudio,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/mediabench/g721/g721encode/encode,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/mediabench/gsm/toast/toast,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/mediabench/jpeg/jpeg-6a/cjpeg,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/mediabench/mpeg2/mpeg2dec/mpeg2decode,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/nbench/nbench,--,C_FAIL,C_FAIL,C_FAIL,--
MultiSource/Benchmarks/sim/sim,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/tramp3d-v4/tramp3d-v4,--,C_FAIL,C_FAIL,C_FAIL,--
MultiSource/UnitTests/C++11/frame_layout/frame_layout,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Adobe-C++/functionobjects,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Adobe-C++/loop_unroll,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Adobe-C++/simple_types_constant_folding,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Adobe-C++/simple_types_loop_invariant,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Adobe-C++/stepanov_abstraction,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Adobe-C++/stepanov_vector,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/BenchmarkGame/Large/fasta,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/BenchmarkGame/fannkuch,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/BenchmarkGame/n-body,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/BenchmarkGame/nsieve-bits,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/BenchmarkGame/partialsums,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/BenchmarkGame/puzzle,--,PASS,PASS,PASS,--
